No,SPECODE,Local-Name,SPECIES-GROUP,ROY_CLASS,COMM-Gr,Dip/NonDip
8788,KAYK,KA YOUK,4,UNKN,Commercial,Dip
8789,KBAL KRORLORNG,KBAL KRORLORNG,3,SECOND,NonCommercial,Non-Dip
8790,KBDA,KANCHOEU BEY DACH,3,UNKN,NonCommercial,Non-Dip
8791,KBDK,KBAL DERK,2,UNKN,Commercial,Non-Dip
8792,KBKK,KROBAO KHEK,7,THIRD,NonCommercial,Dip
8793,KCHP,KA CHIEP,7,THIRD,Commercial,Non-Dip
8794,KDCE,KANDAB CHANG ET,2,FIRST,NonCommercial,Dip
8795,KDCK,KDOR COMBROK,6,NONCLASS,NonCommercial,Non-Dip
8796,KHMA,KHANNMA,5,FIRST,NonCommercial,Non-Dip
8797,KHNH,KHNHE,1,SECOND,Commercial,Dip
8798,KHOS,KHOS,2,THIRD,Commercial,Non-Dip
8799,KHTN,KHTING,7,LUX,Commercial,Non-Dip
8800,KHVG,KHVENG,5,SECOND,Commercial,Dip
8801,KKAL,KALKAL,2,THIRD,Commercial,Non-Dip
8802,KKKK,KALAP,3,FIRST,NonCommercial,Non-Dip
8803,KKLG,KBAL KRORLORNG,7,LUX,NonCommercial,Non-Dip
8804,KLIG,KLING,5,NONCLASS,NonCommercial,Non-Dip
8805,KLNG,KLOUNG,7,NONCLASS,NonCommercial,Non-Dip
8806,KLPO,KLENG POR,1,LUX,NonCommercial,Dip
8807,KMPT,KOM PERT,4,SECOND,Commercial,Non-Dip
8808,KNAL,KNALL,2,FIRST,NonCommercial,Dip
8809,KNAY,KNAY MORN,2,THIRD,Commercial,Dip
8810,KODK,KORNDORK,4,SECOND,NonCommercial,Dip
8811,KOKH,KON KHMOM,7,THIRD,Commercial,Dip
8812,KOMT,KOKTMAT,5,SECOND,Commercial,Dip
8813,KOMY,KO MOUY,5,THIRD,Commercial,Non-Dip
8814,KORK,KORK,4,UNKN,NonCommercial,Non-Dip
8815,KOTT,KORTHET,2,LUX,NonCommercial,Dip
8816,KRAK,KRORCHORK ANDERK,7,FIRST,Commercial,Non-Dip
8817,KREG,KROENG,3,THIRD,NonCommercial,Dip
8818,KREM,KROR EM,7,THIRD,Commercial,Dip
8819,KRMN,KROR MOURN,3,THIRD,NonCommercial,Dip
8820,KROH,KROCH PREY,4,SECOND,NonCommercial,Non-Dip
8821,KRSR,KRORNG SOEUR,1,LUX,Commercial,Non-Dip
8822,KRUS,KHOES REOUS,4,LUX,Commercial,Non-Dip
8823,KRVN,KRORVANN,7,LUX,Commercial,Non-Dip
8824,KTIT,KTITH,1,LUX,Commercial,Non-Dip
8825,LORT,LORT,1,FIRST,Commercial,Dip
8826,LORV,LOR VEA,2,SECOND,NonCommercial,Non-Dip
8827,LOVG,LORVING,7,NONCLASS,NonCommercial,Dip
8828,LRLT,LORLOT,5,NONCLASS,NonCommercial,Dip
8829,MADN,MADEHN,3,NONCLASS,Commercial,Non-Dip
8830,MDAS,MADEHN MEAS,1,LUX,NonCommercial,Non-Dip
8831,MMAG,MOR MANG,7,UNKN,NonCommercial,Non-Dip
8832,MTYK,MLOUTRAYOUK,5,NONCLASS,NonCommercial,Non-Dip
8833,NGOK,NGOK,7,FIRST,NonCommercial,Dip
8834,NHAM,NHAM,4,UNKN,Commercial,Non-Dip
8835,NIV,NIV,1,THIRD,NonCommercial,Non-Dip
8836,ONLK,ONLOK PHOR EM,2,THIRD,NonCommercial,Non-Dip
8837,PAGA,PA NGAB,2,UNKN,Commercial,Dip
8838,PAGS,PA NGES,4,UNKN,Commercial,Dip
8839,PECH,PECH CHANGVA,4,FIRST,Commercial,Non-Dip
8840,PHLG,PHLANG,1,THIRD,NonCommercial,Dip
8841,PHMA,PHNERK CHMA,4,UNKN,NonCommercial,Non-Dip
8842,PHNO,PHNOM PHNERNG,7,LUX,Commercial,Non-Dip
8843,PHOR,PHOR,3,UNKN,Commercial,Dip
8844,PLNG,PLOV NEANG,6,SECOND,Commercial,Dip
8845,PLOG,PLUOUNG,6,FIRST,Commercial,Non-Dip
8846,PLOK,PLONG KEOV,1,LUX,Commercial,Dip
8847,PLOR,PLOR,5,UNKN,NonCommercial,Non-Dip
8848,PLPH,PLOV SOMPOUCH,6,FIRST,NonCommercial,Non-Dip
8849,PMVG,PROMOY VIENG,6,FIRST,Commercial,Non-Dip
8850,PNKP,PHNEK PREAP,6,NONCLASS,NonCommercial,Dip
8851,PNOM,PON ORMBORK,5,THIRD,Commercial,Non-Dip
8852,POCH,POUCH,3,THIRD,Commercial,Dip
8853,POPL,PO PLEAR,6,FIRST,Commercial,Non-Dip
8854,POUN,POUN,6,THIRD,Commercial,Non-Dip
8855,PPPR,POPLEA PRUES,1,FIRST,NonCommercial,Dip
8856,PPVK,POPOULVAK,3,LUX,NonCommercial,Dip
8857,PREL,PREAL,1,LUX,NonCommercial,Non-Dip
8858,PROM,PROMAT KHLAKMOM,2,THIRD,Commercial,Dip
8859,PROM,PROUM,5,UNKN,Commercial,Dip
8860,RANG,RAING,5,SECOND,Commercial,Non-Dip
8861,ROCG,ROM CHORNG,7,LUX,NonCommercial,Non-Dip
8862,RODL,ROMDOUL,3,NONCLASS,Commercial,Non-Dip
8863,ROML,ROMLEANG,1,FIRST,Commercial,Dip
8864,ROTY,ROMENGTHA NGE0Y,3,NONCLASS,Commercial,Non-Dip
8865,ROVN,ROVIENG,3,FIRST,NonCommercial,Dip
8866,RPCK,ROMPEAT CHROUK,7,LUX,NonCommercial,Dip
8867,SADA,SANDA,5,UNKN,Commercial,Non-Dip
8868,SAHA,SANG HA,7,SECOND,NonCommercial,Dip
8869,SAND,SANDAN,1,THIRD,NonCommercial,Dip
8870,SANK,SANG KE,7,UNKN,NonCommercial,Dip
8871,SAVP,SANGVA PICH,2,NONCLASS,NonCommercial,Dip
8872,SBTS,SAMBOUR TES,3,NONCLASS,NonCommercial,Dip
8873,SEMN,SEMORN\ ROL,6,NONCLASS,NonCommercial,Non-Dip
8874,SKPL,SLAKRORPOUL,4,LUX,NonCommercial,Non-Dip
8875,SLCH,SLA KCHEY,4,UNKN,Commercial,Non-Dip
8876,SLET,SLOEK LO ET,5,LUX,Commercial,Dip
8877,SLNG,SOM LEANG,4,NONCLASS,NonCommercial,Dip
8878,SOPI,SOPHY,3,SECOND,Commercial,Dip
8879,SREG,CHHKER SRERNG,6,THIRD,NonCommercial,Dip
8880,SRMO,SRORMOR,6,UNKN,Commercial,Dip
8881,TAPL,TAPIL,3,FIRST,NonCommercial,Dip
8882,TBOT,TABORT,1,UNKN,Commercial,Non-Dip
8883,TENG,TENG,5,NONCLASS,Commercial,Dip
8884,THME,THMEAS,4,THIRD,NonCommercial,Dip
8885,THNO,THNOT PRENG,5,UNKN,NonCommercial,Dip
8886,THTR,THMENH TREY,1,UNKN,Commercial,Non-Dip
8887,TMAK,TLERM ANNDERK,3,THIRD,Commercial,Non-Dip
8888,TNIV,TAONIV,6,LUX,Commercial,Non-Dip
8889,TOUK,TOUK,2,LUX,Commercial,Non-Dip
8890,TRBL,TROR ORL,5,FIRST,NonCommercial,Non-Dip
8891,TRCU,TRA BEK CHOU,1,UNKN,NonCommercial,Dip
8892,TREL,TREAL,6,SECOND,NonCommercial,Dip
8893,TROG,TRORNG,3,SECOND,Commercial,Non-Dip
8894,TRSK,TRORSEK / TRAMKANG,6,THIRD,Commercial,Dip
8895,TRYA,TROR YAK,1,THIRD,Commercial,Dip
8896,TRYG,TROR YORNG,1,THIRD,NonCommercial,Non-Dip
8897,TTPY,TOTIM PREY,1,SECOND,Commercial,Dip
8898,UNKN,UNKNOWN,7,UNKN,Commercial,Dip
8899,VEAY,VEAY,2,SECOND,NonCommercial,Non-Dip
8900,VOEG,VOENG,4,SECOND,NonCommercial,Non-Dip
8901,YEAM,YEAM,7,THIRD,Commercial,Dip
8902,YOUK,YOUK,7,LUX,NonCommercial,Non-Dip
8903,KHLG,KHLONG,7,FIRST,Commercial,Non-Dip
8904,TRAC,TRACH,5,LUX,NonCommercial,Dip
8905,PHDK,PHDEAK,1,SECOND,NonCommercial,Dip
8906,CHBG,CHHOETEAL BANGKOUNEANGO,4,UNKN,NonCommercial,Non-Dip
8907,CHBR,CHHOETEAL BRENG,2,SECOND,NonCommercial,Non-Dip
8908,CHTR,CHHOETEAL CHHNGAR,3,LUX,Commercial,Dip
8909,CHMI,CHHOETEAL MOSAU,2,THIRD,Commercial,Non-Dip
8910,CHRH,CHORCHONG,3,UNKN,Commercial,Dip
8911,CRMS,CHRASMAS,3,NONCLASS,NonCommercial,Non-Dip
8912,KKMS,KOKI MOSAU,3,THIRD,NonCommercial,Non-Dip
8913,KKPN,KOKI PHNONG\KAMNHAN,3,UNKN,Commercial,Non-Dip
8914,LMBI,LUMBOR,3,THIRD,NonCommercial,Dip
8915,PCEK,PHCEK,6,NONCLASS,Commercial,Dip
8916,TBEG,TBENG,5,LUX,NonCommercial,Non-Dip
8917,KHOV,KCHOV/KAMLENG,6,LUX,NonCommercial,Dip
8918,KKDK,KOKI DEK,5,NONCLASS,Commercial,Dip
8919,KKKS,KOKI KHASAC,7,UNKN,Commercial,Dip
8920,KKTM,KOKI THMOR,4,FIRST,NonCommercial,Dip
8921,PPEL,POPEL,4,SECOND,Commercial,Non-Dip
8922,RINM,RAING PHNOM,1,THIRD,NonCommercial,Dip
8923,TRLT,TRORLAT,6,LUX,NonCommercial,Non-Dip
8924,ANKM,ANGKOT KHMAU,3,SECOND,Commercial,Dip
8925,ATTT,ATITH/NEANG PHOR EK,6,THIRD,Commercial,Non-Dip
8926,BENG,BENG,5,FIRST,Commercial,Dip
8927,BSNK,BOSNEAK,7,UNKN,Commercial,Non-Dip
8928,CHBK,CHAM BAK,7,THIRD,NonCommercial,Dip
8929,CHKM,CHHOEU KHMAV/NEANG KHMAV,7,UNKN,NonCommercial,Dip
8930,CHKO,CHOEUNG KO,4,LUX,Commercial,Non-Dip
8931,CHKR,CHAN KRASNA,3,SECOND,NonCommercial,Non-Dip
8932,CHLK,CHHLIK,1,THIRD,Commercial,Dip
8933,CHMC,CHHAM CHHA,1,THIRD,Commercial,Dip
8934,CHTP,CHAN TOUM PEANG,5,LUX,NonCommercial,Dip
8935,DCSP,DONCHERM,6,UNKN,Commercial,Dip
8936,DYKL,DEY KHLA,7,LUX,Commercial,Non-Dip
8937,HUDN,HOUN DAN/MOREASPREOUPHNOM,7,LUX,Commercial,Dip
8938,KMPR,KOMPENG REACH,1,LUX,Commercial,Dip
8939,KRAY,KRAY,3,NONCLASS,Commercial,Dip
8940,KREL,KROEL,1,FIRST,Commercial,Non-Dip
8941,KRKO,KRORKORS,2,SECOND,Commercial,Non-Dip
8942,KRPM,KRORNHOUNG,4,SECOND,Commercial,Non-Dip
8943,KRYS,KRAY SAR,4,UNKN,Commercial,Dip
8944,MASK,MEYSAK,1,THIRD,Commercial,Dip
8945,NNON,NEANG NOUN,7,THIRD,Commercial,Non-Dip
8946,PRDL,PRAM DOMLENG,3,UNKN,NonCommercial,Non-Dip
8947,PRLO,PRO LOUP,2,FIRST,NonCommercial,Dip
8948,PRNG,PRING/KRORB BEK,2,NONCLASS,NonCommercial,Dip
8949,SKRM,SOKROM,2,NONCLASS,Commercial,Non-Dip
8950,SMPN,SAM PONG,3,NONCLASS,NonCommercial,Non-Dip
8951,SRAL,SRAL,5,LUX,Commercial,Non-Dip
8952,SRKR,SROL KRAHAM,3,LUX,Commercial,Dip
8953,SRLO,SRORLAO,1,THIRD,NonCommercial,Dip
8954,SROL,SROL SAR,2,LUX,Commercial,Dip
8955,SWPR,SVAY PREY,2,FIRST,NonCommercial,Dip
8956,SYCR,SVAY CHAM REANG,3,UNKN,Commercial,Dip
8957,TAUR,TAOUR,1,FIRST,Commercial,Dip
8958,TEPI,TEP PHIROU,6,UNKN,NonCommercial,Dip
8959,THNR,THNONG KROHORM,2,LUX,NonCommercial,Non-Dip
8960,THNS,THNONG SOR,1,THIRD,NonCommercial,Non-Dip
8961,TRTM,TRORP TOM,7,THIRD,Commercial,Dip
8962,TRYG,TROR YING,1,FIRST,Commercial,Non-Dip
8963,TTRV,TATRAV,1,SECOND,Commercial,Dip
8964,ANKN,ANGKANH,4,UNKN,Commercial,Dip
8965,ANKT,ANGKAT TMAAT,1,UNKN,NonCommercial,Non-Dip
8966,ANOM,ANGKRANG PHNOM,1,UNKN,Commercial,Non-Dip
8967,ATNG,ATEANG/ROTEANG,6,LUX,Commercial,Dip
8968,BADM,BAK DERM,7,UNKN,Commercial,Non-Dip
8969,BAKG,BANGKANG,5,SECOND,NonCommercial,Dip
8970,BDNG,BAKDORNG,5,FIRST,NonCommercial,Dip
8971,BELY,BELOY,2,UNKN,NonCommercial,Non-Dip
8972,BKSV,BANGKEOU SVA,4,LUX,NonCommercial,Non-Dip
8973,BNKO,BAG KHEOU,4,LUX,Commercial,Non-Dip
8974,BYPV,BAY POU VAING,1,THIRD,NonCommercial,Dip
8975,CASA,KHCHOENG,4,NONCLASS,NonCommercial,Non-Dip
8976,CCHB,CHOEUNG CHAB,6,THIRD,NonCommercial,Non-Dip
8977,CHMK,CHAMRIEK,5,FIRST,Commercial,Dip
8978,CHNY,CHORNY,1,FIRST,Commercial,Dip
8979,CHPL,CHHOE PHLOEUNG,3,UNKN,Commercial,Non-Dip
8980,CHRK,CHRAKENG,7,FIRST,NonCommercial,Dip
8981,CHRM,CHANG KONG ROMEANG,6,FIRST,Commercial,Dip
8982,CHRS,CHREIS,4,SECOND,Commercial,Dip
8983,CHUT,CHORNG UOR THMAT,5,LUX,NonCommercial,Non-Dip
8984,CKTM,CHEK TUM,6,FIRST,NonCommercial,Non-Dip
8985,CREY,CHREY,4,SECOND,Commercial,Non-Dip
8986,DKOR,DONGKOR,3,THIRD,NonCommercial,Non-Dip
8987,DOKM,DOK MEY,1,UNKN,Commercial,Dip
8988,HISN,HAISANH/NGAYSANG/CHANSAR,1,FIRST,NonCommercial,Dip
8989,KAOM,KANGSENGPHNOM,4,LUX,NonCommercial,Non-Dip
8990,KCAS,KCHAS,4,FIRST,NonCommercial,Dip
8991,KDAG,KANN DEANG,3,SECOND,Commercial,Non-Dip
8992,KDCH,KDURCH,4,SECOND,NonCommercial,Non-Dip
8993,KDOL,KDOL,7,UNKN,Commercial,Non-Dip
8994,KES,KES,2,UNKN,Commercial,Dip
8995,KKCM,KONG KANGCHHMOL,4,THIRD,Commercial,Non-Dip
8996,KKGN,KONG KANGNHY,3,NONCLASS,NonCommercial,Non-Dip
8997,KKOM,KONG KANGPHNOM,3,UNKN,NonCommercial,Dip
8998,KNDL,KANNDOL,6,SECOND,Commercial,Non-Dip
8999,KNPR,KHNOR PREY,3,UNKN,NonCommercial,Non-Dip
9000,KRAG,KRANG,4,SECOND,NonCommercial,Non-Dip
9001,KRAS,KREAS,1,UNKN,NonCommercial,Non-Dip
9002,KRBO,KRORBAO,6,SECOND,Commercial,Dip
9003,KRLA,KRORLANH,1,NONCLASS,NonCommercial,Non-Dip
9004,KRON,KRONG,4,FIRST,NonCommercial,Dip
9005,KTOM,KHTOM,1,NONCLASS,NonCommercial,Non-Dip
9006,KWAV,KHVAO,3,UNKN,Commercial,Dip
9007,LGNG,LO NGIENG,2,THIRD,Commercial,Dip
9008,MAKG,MAK BREING,4,LUX,NonCommercial,Dip
9009,MAKP,MAK PRANG,1,NONCLASS,NonCommercial,Dip
9010,MAKU,MAK KLOEU,3,THIRD,NonCommercial,Non-Dip
9011,MNPR,MEAN PREY,4,NONCLASS,Commercial,Dip
9012,NENS,NEANG SAR,5,THIRD,Commercial,Dip
9013,PANG,PANG,5,FIRST,NonCommercial,Non-Dip
9014,PHNV,PHNHEAV,7,FIRST,Commercial,Dip
9015,PHON,PHAONG,7,LUX,Commercial,Non-Dip
9016,PHUT,PROR HOUT,1,SECOND,Commercial,Dip
9017,PLON,PLONG,3,LUX,Commercial,Non-Dip
9018,PNAG,PHNEANG,1,SECOND,NonCommercial,Dip
9019,PNGS,PHNGEAS,4,FIRST,NonCommercial,Non-Dip
9020,POBY,POPUOL BAY,4,UNKN,NonCommercial,Dip
9021,POCV,PON SVAR,5,UNKN,NonCommercial,Non-Dip
9022,POKH,POPEA KHE,7,UNKN,NonCommercial,Non-Dip
9023,PONR,PONG RO,5,SECOND,Commercial,Non-Dip
9024,PPTH,POPULTHMOR,3,SECOND,NonCommercial,Dip
9025,PPUL,PHNEL/POPOUL,4,UNKN,Commercial,Non-Dip
9026,PRPN,PREAS PHNOV/SOMBOK KROHOM,7,LUX,NonCommercial,Non-Dip
9027,PRUS,PROUS,4,LUX,NonCommercial,Dip
9028,PYPK,PHKAI PROEK,2,FIRST,Commercial,Dip
9029,RAIT,RAING TOEK,1,FIRST,NonCommercial,Non-Dip
9030,ROKA,ROKA,7,UNKN,Commercial,Non-Dip
9031,RUNG,ROUNG,2,SECOND,NonCommercial,Non-Dip
9032,SABL,SAMBOUR LOVENG,4,FIRST,Commercial,Dip
9033,SARG,SAM RONG,7,NONCLASS,NonCommercial,Non-Dip
9034,SBMS,SAMBOUR MEAS,1,SECOND,Commercial,Non-Dip
9035,SDAV,SDAV,7,UNKN,NonCommercial,Dip
9036,SDEY,SDEY,7,THIRD,Commercial,Non-Dip
9037,SLEN,SLENG,7,THIRD,NonCommercial,Dip
9038,SMCH,SMACH,7,FIRST,Commercial,Non-Dip
9039,SME,SME,7,LUX,Commercial,Non-Dip
9040,SMKB,SMA KRABEY,3,FIRST,Commercial,Non-Dip
9041,SNAY,SNAY,6,SECOND,NonCommercial,Non-Dip
9042,SNOL,SNUOL,2,THIRD,Commercial,Dip
9043,SOUY,SOURY,1,LUX,NonCommercial,Non-Dip
9044,SPOR,SOM POR,2,FIRST,NonCommercial,Dip
9045,SPPY,SPEOU PREY,3,UNKN,NonCommercial,Dip
9046,SPTK,SPEOU TEK,4,NONCLASS,NonCommercial,Dip
9047,SRKM,SRAKOM,6,LUX,Commercial,Non-Dip
9048,SVAK,SVAY SVAK,6,NONCLASS,NonCommercial,Dip
9049,SVCT,SVAY CHANTI,3,THIRD,Commercial,Non-Dip
9050,SVPT,SVAY PONGTRONG,3,SECOND,Commercial,Non-Dip
9051,TKOV,TKOV,5,THIRD,Commercial,Dip
9052,TLOK,THLOK,3,NONCLASS,Commercial,Non-Dip
9053,TOLP,TOUNLORP,1,UNKN,Commercial,Dip
9054,TPOG,TOM POUNG,3,SECOND,NonCommercial,Non-Dip
9055,TRAG,TRANG,4,NONCLASS,NonCommercial,Non-Dip
9056,TREN,TRA MENG,7,LUX,Commercial,Non-Dip
9057,TRMN,TRORMOUNG,2,SECOND,Commercial,Non-Dip
9058,TRSK,TRORMOUNGSEK,1,SECOND,NonCommercial,Non-Dip
9059,WYNG,VOR YONG,7,LUX,Commercial,Dip
9060,ACSA,ACH SAT,1,SECOND,Commercial,Dip
9061,ADCH,ACHDERK,5,SECOND,NonCommercial,Dip
9062,AKSL,ANGKEA SEL,7,UNKN,Commercial,Dip
9063,AMBB,AMBENG BEK,1,NONCLASS,Commercial,Dip
9064,AMCN,AMBENG CHAN,2,NONCLASS,NonCommercial,Dip
9065,AMPI,AMPIL TOEUK PREY,7,THIRD,Commercial,Non-Dip
9066,ANCH,ANGKOCH,7,UNKN,Commercial,Dip
9067,ANKB,ANGKEA BOS,2,FIRST,Commercial,Dip
9068,ANRD,ANGRE DEK,7,FIRST,Commercial,Non-Dip
9069,APEN,APHEAN,2,THIRD,NonCommercial,Dip
9070,ATES,ATES,2,FIRST,NonCommercial,Non-Dip
9071,ATSR,ANNTUNG SOR,7,THIRD,Commercial,Dip
9072,BAKK,BANGKONG KENGKONG,2,FIRST,NonCommercial,Dip
9073,BAKP,BAKPAO,6,THIRD,NonCommercial,Non-Dip
9074,BBOK,BOR BORK,3,UNKN,NonCommercial,Dip
9075,BOPR,BO PROEUK,7,THIRD,Commercial,Dip
9076,BRCH,BROR CHOK,7,FIRST,Commercial,Dip
9077,BTIL,BATPHTIL,4,THIRD,Commercial,Non-Dip
9078,CABB,CHAM BAK BARAING,3,UNKN,NonCommercial,Non-Dip
9079,CHCK,CHHOENG CHKER,4,UNKN,Commercial,Non-Dip
9080,CHEK,CHANG ENG SEK,5,NONCLASS,Commercial,Non-Dip
9081,CHHA,CHHAR,1,LUX,NonCommercial,Non-Dip
9082,CHHU,CHHOM POU PREY,4,NONCLASS,NonCommercial,Dip
9083,CHKG,CHEUNG KRORVAING,5,THIRD,NonCommercial,Non-Dip
9084,CHKP,CHUNGKONG PHON,2,SECOND,NonCommercial,Non-Dip
9085,CHKU,CHEUNG KRAPEU,2,FIRST,NonCommercial,Non-Dip
9086,CHLS,CHORNLOS,5,FIRST,NonCommercial,Non-Dip
9087,CHNA,CHANG NANG,1,FIRST,Commercial,Dip
9088,CHNO,CHNOK,5,SECOND,Commercial,Non-Dip
9089,CHOV,CHOV,2,SECOND,Commercial,Non-Dip
9090,CHPS,CHHOETEAL PREUS,7,FIRST,Commercial,Dip
9091,CHTU,CHNOK TROU,2,LUX,Commercial,Non-Dip
9092,CTES,CHORNTESPLOUK,3,NONCLASS,NonCommercial,Non-Dip
9093,DAKD,DANG KEAP KDAM,2,THIRD,NonCommercial,Non-Dip
9094,DGPR,DANGKEABPROEUS,1,LUX,Commercial,Non-Dip
9095,DKPO,DOKPO,2,LUX,NonCommercial,Non-Dip
9096,DNKY,DOUNKAY,2,FIRST,NonCommercial,Dip
9097,DRDV,DORNG DAV,5,NONCLASS,Commercial,Dip
9098,DYSP,DEY SAMPOCH,5,NONCLASS,Commercial,Non-Dip
9099,EPSH,EYSEIPHSAM SRACH,2,THIRD,Commercial,Non-Dip
9100,KACL,KACHEAL,5,UNKN,NonCommercial,Non-Dip
9101,KAKU,KAKHUCH,2,SECOND,NonCommercial,Dip
9102,KANA,KANA,6,UNKN,Commercial,Dip
9103,KANE,KANER,4,FIRST,NonCommercial,Dip
9104,KANT,KANTOUT PREY,5,LUX,NonCommercial,Non-Dip
9105,KATG,KATOUNG,4,THIRD,Commercial,Dip
9106,KAYK,KA YOUK,3,SECOND,Commercial,Non-Dip
9107,KBAL KRORLORNG,KBAL KRORLORNG,2,FIRST,NonCommercial,Dip
9108,KBDA,KANCHOEU BEY DACH,1,SECOND,NonCommercial,Dip
9109,KBDK,KBAL DERK,6,NONCLASS,Commercial,Non-Dip
9110,KBKK,KROBAO KHEK,5,UNKN,Commercial,Non-Dip
9111,KCHP,KA CHIEP,4,NONCLASS,NonCommercial,Dip
9112,KDCE,KANDAB CHANG ET,3,UNKN,Commercial,Non-Dip
9113,KDCK,KDOR COMBROK,6,UNKN,Commercial,Non-Dip
9114,KHMA,KHANNMA,6,LUX,Commercial,Non-Dip
9115,KHNH,KHNHE,7,FIRST,Commercial,Dip
9116,KHOS,KHOS,4,SECOND,NonCommercial,Non-Dip
9117,KHTN,KHTING,5,LUX,Commercial,Non-Dip
9118,KHVG,KHVENG,5,LUX,NonCommercial,Dip
9119,KKAL,KALKAL,2,THIRD,NonCommercial,Non-Dip
9120,KKKK,KALAP,4,FIRST,Commercial,Dip
9121,KKLG,KBAL KRORLORNG,4,FIRST,Commercial,Dip
9122,KLIG,KLING,3,UNKN,Commercial,Dip
9123,KLNG,KLOUNG,7,FIRST,Commercial,Non-Dip
9124,KLPO,KLENG POR,5,NONCLASS,Commercial,Dip
9125,KMPT,KOM PERT,2,SECOND,Commercial,Non-Dip
9126,KNAL,KNALL,2,THIRD,NonCommercial,Non-Dip
9127,KNAY,KNAY MORN,4,NONCLASS,NonCommercial,Dip
9128,KODK,KORNDORK,5,SECOND,NonCommercial,Non-Dip
9129,KOKH,KON KHMOM,7,NONCLASS,NonCommercial,Non-Dip
9130,KOMT,KOKTMAT,1,UNKN,Commercial,Dip
9131,KOMY,KO MOUY,4,FIRST,Commercial,Non-Dip
9132,KORK,KORK,6,LUX,NonCommercial,Non-Dip
9133,KOTT,KORTHET,2,THIRD,NonCommercial,Non-Dip
9134,KRAK,KRORCHORK ANDERK,4,NONCLASS,NonCommercial,Non-Dip
9135,KREG,KROENG,5,LUX,NonCommercial,Non-Dip
9136,KREM,KROR EM,6,LUX,NonCommercial,Dip
9137,KRMN,KROR MOURN,1,LUX,NonCommercial,Dip
9138,KROH,KROCH PREY,2,FIRST,NonCommercial,Non-Dip
9139,KRSR,KRORNG SOEUR,7,UNKN,NonCommercial,Non-Dip
9140,KRUS,KHOES REOUS,3,LUX,Commercial,Non-Dip
9141,KRVN,KRORVANN,4,SECOND,Commercial,Non-Dip
9142,KTIT,KTITH,7,SECOND,NonCommercial,Dip
9143,LORT,LORT,5,LUX,Commercial,Dip
9144,LORV,LOR VEA,5,LUX,Commercial,Non-Dip
9145,LOVG,LORVING,2,SECOND,NonCommercial,Dip
9146,LRLT,LORLOT,1,UNKN,Commercial,Non-Dip
9147,MADN,MADEHN,6,NONCLASS,NonCommercial,Dip
9148,MDAS,MADEHN MEAS,3,NONCLASS,NonCommercial,Dip
9149,MMAG,MOR MANG,3,LUX,NonCommercial,Non-Dip
9150,MTYK,MLOUTRAYOUK,3,LUX,Commercial,Dip
9151,NGOK,NGOK,2,FIRST,NonCommercial,Dip
9152,NHAM,NHAM,6,LUX,NonCommercial,Dip
9153,NIV,NIV,4,SECOND,NonCommercial,Dip
9154,ONLK,ONLOK PHOR EM,6,LUX,Commercial,Dip
9155,PAGA,PA NGAB,5,NONCLASS,NonCommercial,Dip
9156,PAGS,PA NGES,2,NONCLASS,Commercial,Dip
9157,PECH,PECH CHANGVA,4,NONCLASS,Commercial,Non-Dip
9158,PHLG,PHLANG,5,THIRD,NonCommercial,Non-Dip
9159,PHMA,PHNERK CHMA,1,SECOND,Commercial,Dip
9160,PHNO,PHNOM PHNERNG,4,LUX,Commercial,Non-Dip
9161,PHOR,PHOR,7,NONCLASS,NonCommercial,Non-Dip
9162,PLNG,PLOV NEANG,1,THIRD,Commercial,Dip
9163,PLOG,PLUOUNG,2,UNKN,NonCommercial,Dip
9164,PLOK,PLONG KEOV,3,SECOND,NonCommercial,Dip
9165,PLOR,PLOR,7,LUX,NonCommercial,Dip
9166,PLPH,PLOV SOMPOUCH,4,UNKN,NonCommercial,Non-Dip
9167,PMVG,PROMOY VIENG,5,THIRD,NonCommercial,Non-Dip
9168,PNKP,PHNEK PREAP,5,NONCLASS,Commercial,Dip
9169,PNOM,PON ORMBORK,2,THIRD,NonCommercial,Dip
9170,POCH,POUCH,1,FIRST,Commercial,Non-Dip
9171,POPL,PO PLEAR,6,NONCLASS,NonCommercial,Non-Dip
9172,POUN,POUN,2,SECOND,Commercial,Dip
9173,PPPR,POPLEA PRUES,6,LUX,Commercial,Non-Dip
9174,PPVK,POPOULVAK,2,NONCLASS,Commercial,Non-Dip
9175,PREL,PREAL,3,UNKN,NonCommercial,Dip
9176,PROM,PROMAT KHLAKMOM,1,THIRD,Commercial,Dip
9177,PROM,PROUM,5,FIRST,NonCommercial,Non-Dip
9178,RANG,RAING,5,UNKN,Commercial,Non-Dip
9179,ROCG,ROM CHORNG,5,THIRD,NonCommercial,Non-Dip
9180,RODL,ROMDOUL,2,SECOND,Commercial,Dip
9181,ROML,ROMLEANG,3,NONCLASS,Commercial,Dip
9182,ROTY,ROMENGTHA NGE0Y,4,NONCLASS,NonCommercial,Non-Dip
9183,ROVN,ROVIENG,3,NONCLASS,NonCommercial,Non-Dip
9184,RPCK,ROMPEAT CHROUK,1,UNKN,NonCommercial,Dip
9185,SADA,SANDA,6,SECOND,Commercial,Dip
9186,SAHA,SANG HA,2,FIRST,NonCommercial,Non-Dip
9187,SAND,SANDAN,1,THIRD,Commercial,Dip
9188,SANK,SANG KE,5,UNKN,NonCommercial,Dip
9189,SAVP,SANGVA PICH,1,NONCLASS,NonCommercial,Non-Dip
