Block_X,Block_Y,Coordinate_X,Coordinate_Y,Tree Number,SPECODE,SPECIES-GROUP,Diameter (cm),Diameter Class,Height (m),Volume (m^3),Status,Production,Cutting Angle,Damage Crown
1,1,46,67,T01017532,ANRD,5,214.13,5,5.48,9.863233122801789e-06,Cut,Cut,220.0,<function calculate_damage_crown at 0x121e67e20>
1,1,49,23,T01017879,APEN,7,102.71,5,8.19,3.3925491260256056e-06,Cut,Cut,60.3,<function calculate_damage_crown at 0x121e67e20>
1,1,52,10,T01014374,ATES,1,240.25,5,12.57,2.8486098406799414e-05,Cut,Cut,53.8,<function calculate_damage_crown at 0x121e67e20>
1,1,15,90,T01011644,ATSR,2,95.98,5,14.51,5.251038328334675e-06,Cut,Cut,39.4,<function calculate_damage_crown at 0x121e67e20>
1,1,79,60,T01017840,BAKK,2,75.44,5,13.32,2.9765605731948646e-06,Cut,Cut,294.4,<function calculate_damage_crown at 0x121e67e20>
1,1,7,24,T01013678,BAKP,2,75.77,5,3.83,8.636371474284572e-07,Cut,Cut,351.1,<function calculate_damage_crown at 0x121e67e20>
1,1,60,11,T01019022,BBOK,1,68.42,5,4.18,7.68432883356549e-07,Cut,Cut,137.5,<function calculate_damage_crown at 0x121e67e20>
1,1,37,96,T01014713,BOPR,4,189.89,5,14.91,2.1119888339318757e-05,Cut,Cut,263.6,<function calculate_damage_crown at 0x121e67e20>
1,1,57,4,T01015481,BRCH,5,98.68,5,3.56,1.361838003346487e-06,Cut,Cut,99.5,<function calculate_damage_crown at 0x121e67e20>
1,1,49,10,T01018098,BTIL,3,64.61,5,3.37,5.530462038465671e-07,Cut,Cut,145.2,<function calculate_damage_crown at 0x121e67e20>
1,1,12,71,T01016425,CABB,2,125.61,5,4.56,2.8233545111387175e-06,Cut,Cut,269.9,<function calculate_damage_crown at 0x121e67e20>
1,1,21,27,T01014520,CHCK,6,133.94,5,13.89,9.788577305464323e-06,Cut,Cut,181.2,<function calculate_damage_crown at 0x121e67e20>
1,1,58,56,T01013619,CHEK,3,148.15,5,13.77,1.1870199008965552e-05,Cut,Cut,302.9,<function calculate_damage_crown at 0x121e67e20>
1,1,74,5,T01015438,CHHA,2,193.73,5,8.49,1.25095643313249e-05,Cut,Cut,335.7,<function calculate_damage_crown at 0x121e67e20>
1,1,76,65,T01014002,CHHU,3,6.85,1,11.81,2.1744066631884614e-08,Keep,,257.1,<function calculate_damage_crown at 0x121e67e20>
1,1,58,45,T01019311,CHKG,5,176.43,5,3.73,4.563869010267015e-06,Cut,Cut,306.7,<function calculate_damage_crown at 0x121e67e20>
1,1,9,43,T01019527,CHKP,3,97.99,5,11.10,4.185477251199177e-06,Cut,Cut,132.9,<function calculate_damage_crown at 0x121e67e20>
1,1,83,46,T01017049,CHKU,2,194.89,5,12.01,1.7917880057135624e-05,Cut,Cut,77.8,<function calculate_damage_crown at 0x121e67e20>
1,1,3,53,T01016368,CHLS,7,89.13,5,3.08,9.619475274797198e-07,Cut,Cut,328.2,<function calculate_damage_crown at 0x121e67e20>
1,2,33,155,T01022367,CHNA,4,179.27,5,2.71,3.4247484996846227e-06,Cut,Cut,121.9,<function calculate_damage_crown at 0x121e67e20>
1,2,22,129,T01021112,CHNO,6,198.31,5,5.20,8.03839585981757e-06,Cut,Cut,100.9,<function calculate_damage_crown at 0x121e67e20>
1,2,24,181,T01022122,CHOV,4,237.15,5,7.62,1.6831877175478255e-05,Cut,Cut,191.5,<function calculate_damage_crown at 0x121e67e20>
1,2,57,151,T01024888,CHPS,5,84.80,5,14.74,4.162212951964813e-06,Cut,Cut,287.9,<function calculate_damage_crown at 0x121e67e20>
1,2,17,119,T01029246,CHTU,2,58.32,4,10.62,1.4185259533559684e-06,Cut,Cut,147.0,<function calculate_damage_crown at 0x121e67e20>
1,2,84,138,T01024820,CTES,4,245.44,5,7.60,1.7989641554916797e-05,Cut,Cut,87.0,<function calculate_damage_crown at 0x121e67e20>
1,2,33,193,T01023036,DAKD,4,164.06,5,11.94,1.2622484518208014e-05,Cut,Cut,128.7,<function calculate_damage_crown at 0x121e67e20>
1,2,60,161,T01029393,DGPR,1,229.80,5,4.84,1.0038980937106563e-05,Cut,Cut,245.2,<function calculate_damage_crown at 0x121e67e20>
1,2,20,129,T01027286,DKPO,3,235.34,5,5.97,1.2990779997813206e-05,Cut,Cut,50.1,<function calculate_damage_crown at 0x121e67e20>
1,2,28,185,T01028035,DNKY,5,184.38,5,9.66,1.2902969996068957e-05,Cut,Cut,115.7,<function calculate_damage_crown at 0x121e67e20>
1,2,80,162,T01025761,DRDV,6,122.41,5,11.07,6.517191865838482e-06,Cut,Cut,228.0,<function calculate_damage_crown at 0x121e67e20>
1,2,81,105,T01025640,DYSP,6,193.62,5,13.56,1.9968010538060915e-05,Cut,Cut,74.9,<function calculate_damage_crown at 0x121e67e20>
1,2,72,171,T01028906,EPSH,2,140.82,5,7.33,5.7125222499942e-06,Cut,Cut,54.3,<function calculate_damage_crown at 0x121e67e20>
1,2,23,166,T01029790,KACL,3,67.84,5,3.74,6.757334391637684e-07,Cut,Cut,296.6,<function calculate_damage_crown at 0x121e67e20>
1,2,15,170,T01028320,KAKU,6,72.89,5,13.21,2.7563848144610677e-06,Cut,Cut,301.3,<function calculate_damage_crown at 0x121e67e20>
1,2,85,143,T01028861,KANA,5,26.68,2,10.05,2.8086648585547126e-07,Keep,,144.3,<function calculate_damage_crown at 0x121e67e20>
1,2,45,103,T01026708,KANE,2,68.26,5,8.57,1.56858285243093e-06,Cut,Cut,71.7,<function calculate_damage_crown at 0x121e67e20>
1,2,12,157,T01025264,KANT,7,53.19,4,7.87,8.749392301872028e-07,Cut,Cut,157.1,<function calculate_damage_crown at 0x121e67e20>
1,2,81,149,T01027757,KATG,6,244.06,5,10.54,2.4647860962675983e-05,Cut,Cut,0.4,<function calculate_damage_crown at 0x121e67e20>
1,2,76,137,T01029114,KAYK,2,17.48,2,12.47,1.4962028749144488e-07,Keep,,79.2,<function calculate_damage_crown at 0x121e67e20>
1,2,34,192,T01021167,KBAL KRORLORNG,5,191.05,5,7.26,1.040094718863001e-05,Cut,Cut,195.5,<function calculate_damage_crown at 0x121e67e20>
1,2,77,196,T01025851,KBDA,7,236.70,5,3.58,7.876517349915892e-06,Cut,Cut,171.8,<function calculate_damage_crown at 0x121e67e20>
1,2,26,136,T01025900,KBDK,1,216.04,5,10.40,1.9057299337241074e-05,Cut,Cut,83.1,<function calculate_damage_crown at 0x121e67e20>
1,2,77,183,T01023762,KBKK,2,247.64,5,13.14,3.1652097039937386e-05,Cut,Cut,145.1,<function calculate_damage_crown at 0x121e67e20>
1,2,11,197,T01027858,KCHP,3,141.14,5,13.06,1.0219384268913439e-05,Cut,Cut,317.6,<function calculate_damage_crown at 0x121e67e20>
1,2,9,173,T01025610,KDCE,3,225.30,5,2.69,5.35860067785776e-06,Cut,Cut,318.0,<function calculate_damage_crown at 0x121e67e20>
1,2,87,139,T01024905,KDCK,6,118.01,5,11.97,6.548848399807584e-06,Cut,Cut,11.4,<function calculate_damage_crown at 0x121e67e20>
1,2,27,178,T01028292,KHMA,4,96.76,5,5.42,1.993744356237782e-06,Cut,Cut,8.2,<function calculate_damage_crown at 0x121e67e20>
1,2,69,127,T01029222,KHNH,4,14.14,1,8.68,6.81355446478956e-08,Keep,,172.3,<function calculate_damage_crown at 0x121e67e20>
1,2,9,132,T01027238,KHOS,2,110.22,5,9.43,4.500152550251782e-06,Cut,Cut,209.9,<function calculate_damage_crown at 0x121e67e20>
1,2,34,185,T01023789,KHTN,3,19.97,2,10.89,1.705877501131729e-07,Keep,,50.1,<function calculate_damage_crown at 0x121e67e20>
1,2,43,133,T01026617,KHVG,2,48.91,4,10.71,1.0059564769428862e-06,Cut,Cut,116.7,<function calculate_damage_crown at 0x121e67e20>
1,2,95,131,T01029726,KKAL,1,10.20,1,13.05,5.3299575281705583e-08,Keep,,58.2,<function calculate_damage_crown at 0x121e67e20>
1,2,9,137,T01028373,KKKK,1,152.95,5,14.06,1.2918328415008397e-05,Cut,Cut,278.9,<function calculate_damage_crown at 0x121e67e20>
1,2,19,101,T01029236,KKLG,7,96.28,5,7.88,2.8683011272622724e-06,Cut,Cut,30.3,<function calculate_damage_crown at 0x121e67e20>
1,2,37,134,T01027058,KLIG,7,28.70,2,4.02,1.300045984775292e-07,Keep,,179.9,<function calculate_damage_crown at 0x121e67e20>
1,2,93,186,T01028708,KLNG,6,133.63,5,14.02,9.830865346761611e-06,Cut,Cut,201.5,<function calculate_damage_crown at 0x121e67e20>
1,2,18,143,T01027824,KLPO,5,224.85,5,12.63,2.5074583846862e-05,Cut,Cut,320.3,<function calculate_damage_crown at 0x121e67e20>
1,2,72,186,T01025128,KMPT,4,180.58,5,3.78,4.840838104679125e-06,Cut,Cut,102.1,<function calculate_damage_crown at 0x121e67e20>
1,2,86,191,T01029878,KNAL,5,234.72,5,13.65,2.953273415573817e-05,Cut,Cut,279.5,<function calculate_damage_crown at 0x121e67e20>
1,2,2,151,T01026014,KNAY,1,25.86,2,5.90,1.5498597061552858e-07,Keep,,60.0,<function calculate_damage_crown at 0x121e67e20>
1,2,62,117,T01026053,KODK,4,242.27,5,10.95,2.525212030601187e-05,Cut,Cut,339.2,<function calculate_damage_crown at 0x121e67e20>
1,2,49,185,T01028912,KOKH,3,183.53,5,13.04,1.7251739486370197e-05,Cut,Cut,44.5,<function calculate_damage_crown at 0x121e67e20>
1,2,89,131,T01027053,KOMT,6,116.45,5,12.90,6.868969912429048e-06,Cut,Cut,52.1,<function calculate_damage_crown at 0x121e67e20>
1,2,70,156,T01022827,KOMY,7,109.20,5,8.04,3.7677977807919086e-06,Cut,Cut,244.0,<function calculate_damage_crown at 0x121e67e20>
1,2,71,147,T01026090,KORK,2,222.98,5,10.32,2.0143576833604435e-05,Cut,Cut,288.3,<function calculate_damage_crown at 0x121e67e20>
1,2,58,137,T01027457,KOTT,6,126.65,5,9.88,6.222460928092917e-06,Cut,Cut,210.2,<function calculate_damage_crown at 0x121e67e20>
1,2,57,179,T01024618,KRAK,3,124.54,5,11.95,7.2819116895329905e-06,Cut,Cut,166.3,<function calculate_damage_crown at 0x121e67e20>
1,2,20,182,T01025533,KREG,6,44.06,3,2.68,2.0448148316979365e-07,Keep,,37.0,<function calculate_damage_crown at 0x121e67e20>
1,2,15,183,T01024001,KREM,6,22.59,2,10.57,2.118260155089998e-07,Keep,,158.0,<function calculate_damage_crown at 0x121e67e20>
1,2,4,198,T01022572,KRMN,4,242.30,5,4.24,9.77120794482863e-06,Cut,Cut,172.9,<function calculate_damage_crown at 0x121e67e20>
1,2,33,141,T01023413,KROH,5,103.91,5,6.72,2.8491975634663047e-06,Cut,Cut,286.1,<function calculate_damage_crown at 0x121e67e20>
1,2,95,143,T01029705,KRSR,1,115.09,5,2.61,1.359765221051064e-06,Cut,Cut,226.3,<function calculate_damage_crown at 0x121e67e20>
1,2,71,161,T01027613,KRUS,6,12.24,1,14.27,8.393038424161328e-08,Keep,,200.4,<function calculate_damage_crown at 0x121e67e20>
1,2,69,129,T01025337,KRVN,3,183.96,5,7.82,1.0397268273537024e-05,Cut,Cut,2.6,<function calculate_damage_crown at 0x121e67e20>
1,2,13,178,T01026857,KTIT,5,54.99,4,13.30,1.5799634319465027e-06,Cut,Cut,72.4,<function calculate_damage_crown at 0x121e67e20>
1,2,11,154,T01024328,LORT,6,79.42,5,3.80,9.42221207986895e-07,Cut,Cut,85.6,<function calculate_damage_crown at 0x121e67e20>
1,2,3,148,T01028182,LORV,4,35.10,3,14.65,7.088428422782284e-07,Keep,,41.9,<function calculate_damage_crown at 0x121e67e20>
1,2,59,130,T01026289,LOVG,1,176.45,5,8.87,1.084957405744738e-05,Cut,Cut,1.5,<function calculate_damage_crown at 0x121e67e20>
1,2,77,178,T01028876,LRLT,3,214.33,5,3.64,6.562779617855757e-06,Cut,Cut,242.9,<function calculate_damage_crown at 0x121e67e20>
1,2,81,133,T01023364,MADN,6,208.82,5,3.93,6.735916664092943e-06,Cut,Cut,136.0,<function calculate_damage_crown at 0x121e67e20>
1,2,31,156,T01021726,MDAS,1,96.87,5,5.03,1.853331441911658e-06,Cut,Cut,92.2,<function calculate_damage_crown at 0x121e67e20>
1,2,67,124,T01023126,MMAG,5,136.61,5,3.11,2.2771254547190535e-06,Cut,Cut,9.9,<function calculate_damage_crown at 0x121e67e20>
1,2,57,101,T01028134,MTYK,3,189.54,5,2.86,4.038776481404244e-06,Cut,Cut,289.6,<function calculate_damage_crown at 0x121e67e20>
1,2,95,104,T01026635,NGOK,4,119.87,5,12.26,6.915724347542334e-06,Cut,Cut,81.4,<function calculate_damage_crown at 0x121e67e20>
1,2,87,191,T01024581,NHAM,5,210.69,5,6.41,1.1171140213445025e-05,Cut,Cut,151.8,<function calculate_damage_crown at 0x121e67e20>
1,2,30,123,T01023589,NIV,3,181.19,5,14.08,1.8154963903526535e-05,Cut,Cut,95.3,<function calculate_damage_crown at 0x121e67e20>
1,2,98,196,T01026402,ONLK,1,16.94,2,12.28,1.3846507882295676e-07,Keep,,239.0,<function calculate_damage_crown at 0x121e67e20>
1,2,67,158,T01029690,PAGA,6,234.24,5,7.92,1.706300169464989e-05,Cut,Cut,55.6,<function calculate_damage_crown at 0x121e67e20>
1,2,50,191,T01024093,PAGS,3,218.86,5,8.20,1.543129883503585e-05,Cut,Cut,284.6,<function calculate_damage_crown at 0x121e67e20>
1,2,87,189,T01029742,PECH,5,112.26,5,6.87,3.4008717487524227e-06,Cut,Cut,26.7,<function calculate_damage_crown at 0x121e67e20>
1,2,88,111,T01029050,PHLG,7,18.48,2,4.21,5.6404548902869315e-08,Keep,,190.2,<function calculate_damage_crown at 0x121e67e20>
1,2,21,165,T01028821,PHMA,4,201.65,5,9.29,1.4835679188081979e-05,Cut,Cut,54.4,<function calculate_damage_crown at 0x121e67e20>
1,2,97,109,T01024636,PHNO,2,150.01,5,3.32,2.9366060194343054e-06,Cut,Cut,176.1,<function calculate_damage_crown at 0x121e67e20>
1,2,54,119,T01026207,PHOR,1,48.02,4,9.83,8.905043484154479e-07,Cut,Cut,182.2,<function calculate_damage_crown at 0x121e67e20>
1,2,67,144,T01027696,PLNG,6,34.32,3,11.38,5.26351159825207e-07,Keep,,63.9,<function calculate_damage_crown at 0x121e67e20>
1,2,27,131,T01025085,PLOG,4,194.63,5,7.88,1.1720184161996198e-05,Cut,Cut,151.3,<function calculate_damage_crown at 0x121e67e20>
1,2,97,175,T01022801,PLOK,7,191.20,5,4.53,6.507536019730315e-06,Cut,Cut,151.6,<function calculate_damage_crown at 0x121e67e20>
1,2,20,194,T01027044,PLOR,2,215.83,5,12.34,2.2577806592826104e-05,Cut,Cut,44.4,<function calculate_damage_crown at 0x121e67e20>
1,2,91,124,T01026833,PLPH,5,123.59,5,5.07,3.0420468034129204e-06,Cut,Cut,153.6,<function calculate_damage_crown at 0x121e67e20>
1,2,37,193,T01028613,PMVG,2,136.25,5,4.67,3.4058836939512323e-06,Cut,Cut,38.7,<function calculate_damage_crown at 0x121e67e20>
1,2,0,188,T01024151,PNKP,7,208.26,5,9.63,1.641094182417437e-05,Cut,Cut,266.3,<function calculate_damage_crown at 0x121e67e20>
1,2,15,174,T01021371,PNOM,5,72.20,5,7.23,1.4798882957863352e-06,Cut,Cut,292.0,<function calculate_damage_crown at 0x121e67e20>
1,2,20,101,T01028027,POCH,1,204.34,5,8.26,1.3549122857296595e-05,Cut,Cut,218.9,<function calculate_damage_crown at 0x121e67e20>
1,2,12,160,T01027007,POPL,4,57.49,4,9.87,1.2816834062364678e-06,Cut,Cut,164.5,<function calculate_damage_crown at 0x121e67e20>
1,2,9,196,T01025630,POUN,4,244.29,5,13.16,3.083555384734107e-05,Cut,Cut,4.2,<function calculate_damage_crown at 0x121e67e20>
1,2,96,109,T01026971,PPPR,3,48.35,4,11.53,1.058288819912859e-06,Cut,Cut,250.8,<function calculate_damage_crown at 0x121e67e20>
1,2,59,119,T01025648,PPVK,6,98.66,5,13.43,5.135477564854807e-06,Cut,Cut,161.9,<function calculate_damage_crown at 0x121e67e20>
1,2,38,188,T01021852,PREL,4,196.62,5,9.09,1.3806925380405664e-05,Cut,Cut,267.8,<function calculate_damage_crown at 0x121e67e20>
1,2,5,170,T01029656,PROM,1,131.56,5,7.85,5.332836363783003e-06,Cut,Cut,289.9,<function calculate_damage_crown at 0x121e67e20>
1,2,77,193,T01027136,PROM,3,90.63,5,4.96,1.5985265106365917e-06,Cut,Cut,201.3,<function calculate_damage_crown at 0x121e67e20>
1,2,68,104,T01022713,RANG,6,161.34,5,7.72,7.889183362664755e-06,Cut,Cut,125.8,<function calculate_damage_crown at 0x121e67e20>
1,2,15,137,T01025019,ROCG,6,212.96,5,13.85,2.4664910896762105e-05,Cut,Cut,94.9,<function calculate_damage_crown at 0x121e67e20>
1,2,72,197,T01023191,RODL,6,145.92,5,3.10,2.589638610029583e-06,Cut,Cut,18.5,<function calculate_damage_crown at 0x121e67e20>
1,2,90,102,T01021038,ROML,1,19.56,2,14.68,2.204952126529215e-07,Keep,,182.8,<function calculate_damage_crown at 0x121e67e20>
1,2,83,193,T01028424,ROTY,3,158.15,5,10.94,1.0745795927559442e-05,Cut,Cut,19.2,<function calculate_damage_crown at 0x121e67e20>
1,2,72,192,T01028915,ROVN,1,171.46,5,7.18,8.293867613990783e-06,Cut,Cut,53.5,<function calculate_damage_crown at 0x121e67e20>
1,2,88,164,T01024918,RPCK,2,137.85,5,6.57,4.903149709961941e-06,Cut,Cut,78.9,<function calculate_damage_crown at 0x121e67e20>
1,2,8,104,T01025569,SADA,2,141.43,5,8.72,6.85380347799436e-06,Cut,Cut,303.6,<function calculate_damage_crown at 0x121e67e20>
1,2,38,146,T01021286,SAHA,4,141.54,5,9.67,7.608746455491921e-06,Cut,Cut,322.4,<function calculate_damage_crown at 0x121e67e20>
1,2,13,164,T01027510,SAND,3,220.69,5,6.45,1.2335828929984073e-05,Cut,Cut,262.1,<function calculate_damage_crown at 0x121e67e20>
1,2,5,154,T01027298,SANK,2,248.53,5,5.78,1.4012262691000548e-05,Cut,Cut,352.9,<function calculate_damage_crown at 0x121e67e20>
1,2,48,131,T01029853,SAVP,5,7.32,1,8.93,1.8793182808656644e-08,Keep,,62.5,<function calculate_damage_crown at 0x121e67e20>
1,2,58,161,T01029789,SBTS,3,185.22,5,10.76,1.4500345706589215e-05,Cut,Cut,23.1,<function calculate_damage_crown at 0x121e67e20>
1,2,76,176,T01023402,SEMN,1,125.69,5,13.94,8.650765651348187e-06,Cut,Cut,333.3,<function calculate_damage_crown at 0x121e67e20>
1,2,62,197,T01027605,SKPL,4,40.53,3,11.40,7.355412521634846e-07,Keep,,331.2,<function calculate_damage_crown at 0x121e67e20>
1,2,17,168,T01027117,SLCH,5,75.83,5,4.21,9.511369726887457e-07,Cut,Cut,351.7,<function calculate_damage_crown at 0x121e67e20>
1,2,32,173,T01024373,SLET,5,73.80,5,12.32,2.636647012433122e-06,Cut,Cut,40.3,<function calculate_damage_crown at 0x121e67e20>
1,2,88,184,T01029575,SLNG,6,118.82,5,11.86,6.574935918205849e-06,Cut,Cut,104.7,<function calculate_damage_crown at 0x121e67e20>
1,2,59,199,T01026557,SOPI,1,187.96,5,14.34,1.9898792303360098e-05,Cut,Cut,256.0,<function calculate_damage_crown at 0x121e67e20>
1,2,0,182,T01028421,SREG,6,248.25,5,4.15,1.0034523735948074e-05,Cut,Cut,148.0,<function calculate_damage_crown at 0x121e67e20>
1,2,9,181,T01021662,SRMO,3,230.56,5,14.05,2.932938709492157e-05,Cut,Cut,170.7,<function calculate_damage_crown at 0x121e67e20>
1,2,76,150,T01028858,TAPL,2,120.96,5,3.23,1.8587924506268861e-06,Cut,Cut,206.7,<function calculate_damage_crown at 0x121e67e20>
1,2,8,163,T01024457,TBOT,1,27.34,2,11.13,3.268514602218683e-07,Keep,,307.5,<function calculate_damage_crown at 0x121e67e20>
1,2,22,151,T01022967,TENG,4,156.21,5,9.81,9.400482194067959e-06,Cut,Cut,83.3,<function calculate_damage_crown at 0x121e67e20>
1,2,73,177,T01024758,THME,6,230.28,5,11.10,2.310790292026978e-05,Cut,Cut,284.2,<function calculate_damage_crown at 0x121e67e20>
1,2,65,193,T01026439,THNO,6,232.65,5,8.57,1.8223602827005085e-05,Cut,Cut,167.6,<function calculate_damage_crown at 0x121e67e20>
1,2,43,175,T01028691,THTR,6,183.31,5,9.16,1.2086326292498831e-05,Cut,Cut,63.5,<function calculate_damage_crown at 0x121e67e20>
1,2,45,136,T01028832,TMAK,4,82.80,5,2.84,7.638045584646064e-07,Cut,Cut,41.1,<function calculate_damage_crown at 0x121e67e20>
1,2,78,100,T01025502,TNIV,5,124.53,5,6.57,4.000152292761067e-06,Cut,Cut,300.6,<function calculate_damage_crown at 0x121e67e20>
1,2,16,120,T01029078,TOUK,3,200.44,5,7.31,1.15286769427606e-05,Cut,Cut,94.4,<function calculate_damage_crown at 0x121e67e20>
1,2,55,179,T01026583,TRBL,3,12.20,1,10.52,6.153876247853405e-08,Keep,,259.3,<function calculate_damage_crown at 0x121e67e20>
1,2,31,126,T01026314,TRCU,2,8.97,1,3.47,1.0964880565102065e-08,Keep,,270.5,<function calculate_damage_crown at 0x121e67e20>
1,2,66,109,T01029534,TREL,4,16.02,2,11.98,1.207018408343487e-07,Keep,,321.9,<function calculate_damage_crown at 0x121e67e20>
1,2,82,197,T01021152,TROG,5,86.15,5,10.36,3.0200269274222555e-06,Cut,Cut,215.3,<function calculate_damage_crown at 0x121e67e20>
1,2,96,191,T01025073,TRSK,2,245.04,5,6.34,1.4942589682765708e-05,Cut,Cut,296.1,<function calculate_damage_crown at 0x121e67e20>
1,2,43,182,T01027634,TRYA,5,213.49,5,8.48,1.5175336808778497e-05,Cut,Cut,128.0,<function calculate_damage_crown at 0x121e67e20>
1,2,54,117,T01025437,TRYG,2,33.23,3,12.95,5.61397348304952e-07,Keep,,247.6,<function calculate_damage_crown at 0x121e67e20>
1,2,15,158,T01025820,TTPY,2,192.84,5,8.67,1.266124001709173e-05,Cut,Cut,131.6,<function calculate_damage_crown at 0x121e67e20>
1,2,65,138,T01021673,UNKN,7,73.47,5,9.89,2.097666084537024e-06,Cut,Cut,159.8,<function calculate_damage_crown at 0x121e67e20>
1,2,73,155,T01021781,VEAY,5,127.50,5,6.15,3.9253243070201786e-06,Cut,Cut,303.4,<function calculate_damage_crown at 0x121e67e20>
1,2,28,107,T01028122,VOEG,1,170.14,5,9.54,1.0850283589456052e-05,Cut,Cut,114.0,<function calculate_damage_crown at 0x121e67e20>
1,2,92,177,T01026764,YEAM,5,43.35,3,14.27,1.0535479749751305e-06,Keep,,187.4,<function calculate_damage_crown at 0x121e67e20>
1,2,23,146,T01029106,YOUK,6,86.67,5,11.01,3.2477115301181737e-06,Cut,Cut,11.2,<function calculate_damage_crown at 0x121e67e20>
1,2,29,162,T01025656,KHLG,3,30.39,3,11.84,4.296854570865948e-07,Keep,,27.7,<function calculate_damage_crown at 0x121e67e20>
1,2,63,190,T01023126,TRAC,1,135.22,5,8.63,6.196859873743385e-06,Cut,Cut,36.7,<function calculate_damage_crown at 0x121e67e20>
1,2,63,119,T01027306,PHDK,7,58.57,4,7.93,1.0682291703980199e-06,Cut,Cut,270.9,<function calculate_damage_crown at 0x121e67e20>
1,2,56,143,T01025502,CHBG,1,176.05,5,10.90,1.3268155572328519e-05,Cut,Cut,102.5,<function calculate_damage_crown at 0x121e67e20>
1,2,12,169,T01024921,CHBR,1,209.85,5,9.01,1.5579979000043496e-05,Cut,Cut,83.4,<function calculate_damage_crown at 0x121e67e20>
1,2,10,102,T01025650,CHTR,7,112.64,5,6.34,3.1572109164068395e-06,Cut,Cut,13.8,<function calculate_damage_crown at 0x121e67e20>
1,2,42,113,T01029077,CHMI,4,235.88,5,6.55,1.431631802856263e-05,Cut,Cut,113.7,<function calculate_damage_crown at 0x121e67e20>
1,2,6,144,T01023920,CHRH,6,55.13,4,7.13,8.511629574955103e-07,Cut,Cut,222.7,<function calculate_damage_crown at 0x121e67e20>
1,2,98,159,T01029223,CRMS,3,27.25,2,8.23,2.4017978504309e-07,Keep,,199.2,<function calculate_damage_crown at 0x121e67e20>
1,2,94,176,T01029611,KKMS,4,232.31,5,14.95,3.169444913684749e-05,Cut,Cut,1.2,<function calculate_damage_crown at 0x121e67e20>
1,2,7,193,T01027823,KKPN,5,109.40,5,8.50,3.99345009769373e-06,Cut,Cut,300.9,<function calculate_damage_crown at 0x121e67e20>
1,2,32,163,T01029424,LMBI,5,24.22,2,3.39,7.804126775494161e-08,Keep,,274.4,<function calculate_damage_crown at 0x121e67e20>
1,2,54,193,T01028497,PCEK,7,210.79,5,12.43,2.1684121267801042e-05,Cut,Cut,162.7,<function calculate_damage_crown at 0x121e67e20>
1,2,89,198,T01029498,TBEG,2,213.38,5,14.21,2.5403283144505493e-05,Cut,Cut,133.6,<function calculate_damage_crown at 0x121e67e20>
1,2,15,160,T01026520,KHOV,1,43.48,3,13.08,9.714113331961828e-07,Keep,,259.8,<function calculate_damage_crown at 0x121e67e20>
1,2,75,166,T01025159,KKDK,1,63.22,5,13.03,2.0453877344106116e-06,Cut,Cut,43.0,<function calculate_damage_crown at 0x121e67e20>
1,2,24,147,T01028978,KKKS,6,225.25,5,6.33,1.261661991800503e-05,Cut,Cut,315.4,<function calculate_damage_crown at 0x121e67e20>
1,2,13,129,T01025662,KKTM,6,131.79,5,4.30,2.9334137229023143e-06,Cut,Cut,91.8,<function calculate_damage_crown at 0x121e67e20>
1,2,30,114,T01021896,PPEL,3,156.33,5,4.93,4.73509560240146e-06,Cut,Cut,106.4,<function calculate_damage_crown at 0x121e67e20>
1,2,34,157,T01022734,RINM,5,221.72,5,10.95,2.114241124010037e-05,Cut,Cut,131.0,<function calculate_damage_crown at 0x121e67e20>
1,2,94,148,T01029656,TRLT,3,249.64,5,13.46,3.294030121962767e-05,Cut,Cut,358.3,<function calculate_damage_crown at 0x121e67e20>
1,2,39,122,T01029530,ANKM,2,121.16,5,3.75,2.162118582988861e-06,Cut,Cut,311.3,<function calculate_damage_crown at 0x121e67e20>
1,2,17,110,T01022644,ATTT,4,162.89,5,4.60,4.7911275403106935e-06,Cut,Cut,264.0,<function calculate_damage_crown at 0x121e67e20>
1,2,82,190,T01029429,BENG,1,60.58,5,7.56,1.0903230021696672e-06,Cut,Cut,336.0,<function calculate_damage_crown at 0x121e67e20>
1,2,14,121,T01028790,BSNK,1,242.07,5,2.80,6.436516879867918e-06,Cut,Cut,341.0,<function calculate_damage_crown at 0x121e67e20>
1,2,98,139,T01025350,CHBK,2,97.15,5,5.22,1.936017106793861e-06,Cut,Cut,328.2,<function calculate_damage_crown at 0x121e67e20>
1,2,93,113,T01024594,CHKM,5,39.24,3,8.84,5.345524453548556e-07,Keep,,158.2,<function calculate_damage_crown at 0x121e67e20>
1,2,96,193,T01026546,CHKO,7,219.82,5,8.42,1.5988096970768096e-05,Cut,Cut,225.7,<function calculate_damage_crown at 0x121e67e20>
1,2,14,174,T01022477,CHKR,5,96.25,5,3.05,1.1096383325699035e-06,Cut,Cut,211.6,<function calculate_damage_crown at 0x121e67e20>
1,2,11,112,T01027301,CHLK,5,78.29,5,8.68,2.0902151075781074e-06,Cut,Cut,31.8,<function calculate_damage_crown at 0x121e67e20>
1,2,85,112,T01024768,CHMC,2,9.85,1,3.60,1.3721865912028403e-08,Keep,,348.8,<function calculate_damage_crown at 0x121e67e20>
1,2,89,144,T01028158,CHTP,6,143.78,5,3.85,3.126312554735859e-06,Cut,Cut,175.1,<function calculate_damage_crown at 0x121e67e20>
